교양교과목 편성 현황(2025학년도 1학기 기준),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2025학년도 교육과정(입학자),,,,,,
연번,대학명(부서명),편성신청학과(부서명),교과목코드,교과목명,편성학기,편성신청학과(부서명),학점구조,평가방법,원격강의,SW지정,이수구분,교육과정구분,교양영역구분,핵심역량,"2011~2016학년도
교육과정(입학자)","2017~2020학년도
교육과정(입학자)","2021~2024학년도
교육과정(입학자)",비고
276,본부소속,교양학부,2006824,유전자와인간,2022-2,교양학부,3-3-0,,,,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,2016자연과학영역,핵심교양,균형교양 제2영역,
277,본부소속,교양학부,2006825,미생물과인간생활,2021-1,교양학부,3-3-0,,Y,,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,2016자연과학영역,핵심교양,균형교양 제2영역,
278,본부소속,교양학부,2004052,인간과인공지능,2017-1,교양학부,3-3-0,,,,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제3영역,
279,본부소속,교양학부,0001346,생명공학기술과미래,2006-1,교양학부,3-3-0,,Y,,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,2016자연과학영역,핵심교양,균형교양 제2영역,
280,본부소속,교양학부,2008049,4차산업혁명과인적자원관리,2023-1,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제5영역,
281,본부소속,교양학부,2008050,공공부문의이해와공직진출,2023-1,교양학부,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),자기계발역량,2016취창업및진로영역,일반교양,소양교양선택,
282,본부소속,교양학부,2008245,공공기관분석과진로설계,2023-2,교양학부,3-3-0,,Y,,교양선택,균형교양,C(외국어예술건강진로),가치탐구역량,2016취창업및진로영역,핵심교양,균형교양 제5영역,
283,본부소속,교양학부,2008246,대한민국이해하기,2023-2,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제5영역,
284,본부소속,교양학부,2008247,데이터로바라보는세상,2023-2,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제5영역,
285,본부소속,교양학부,2008248,미드로배우는영어,2023-2,교양학부,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),의사소통역량,2016문화및예체능영역,일반교양,소양교양선택,
